ID,Tamanho_bp,Descrição,Conteudo_GC
AF029074.1.636.undefined.IP084.961,961,AF029074.1.636.undefined.IP084.961,50.78
AF029075.2.637.undefined.2060gp21.536,536,AF029075.2.637.undefined.2060gp21.536,51.87
AF031888.1.638.undefined.-.225,225,AF031888.1.638.undefined.-.225,48.44
AF031889.1.639.undefined.C3H/HeJ.423,423,AF031889.1.639.undefined.C3H/HeJ.423,45.39
AF032470.1.640.undefined.KUW-4.704,704,AF032470.1.640.undefined.KUW-4.704,58.66
AF032989.1.641.undefined.-.765,765,AF032989.1.641.undefined.-.765,57.25
AF032990.1.642.undefined.-.764,764,AF032990.1.642.undefined.-.764,57.98
AF032991.1.643.undefined.-.765,765,AF032991.1.643.undefined.-.765,57.65
AF032992.1.644.undefined.-.764,764,AF032992.1.644.undefined.-.764,57.59
AF032993.1.645.undefined.-.765,765,AF032993.1.645.undefined.-.765,57.52
AF033817.1.646.undefined.-.8507,8507,AF033817.1.646.undefined.-.8507,53.46
AF042071.1.647.undefined.RKI3-Ger.8868,8868,AF042071.1.647.undefined.RKI3-Ger.8868,53.91
AF054271.1.648.undefined.-.625,625,AF054271.1.648.undefined.-.625,57.44
AF054272.1.649.undefined.-.626,626,AF054272.1.649.undefined.-.626,57.83
AF054273.1.650.undefined.-.625,625,AF054273.1.650.undefined.-.625,56.8
AF054627.1.651.undefined.RKI4-Peru.856,856,AF054627.1.651.undefined.RKI4-Peru.856,55.33
AF054628.1.652.undefined.RKI6-Ger.419,419,AF054628.1.652.undefined.RKI6-Ger.419,58.71
AF058079.1.653.undefined.-.589,589,AF058079.1.653.undefined.-.589,53.48
AF058080.1.654.undefined.-.589,589,AF058080.1.654.undefined.-.589,53.48
AF058081.1.655.undefined.-.589,589,AF058081.1.655.undefined.-.589,53.48
AF058082.1.656.undefined.-.589,589,AF058082.1.656.undefined.-.589,53.31
AF058083.1.657.undefined.-.589,589,AF058083.1.657.undefined.-.589,53.31
AF058084.1.658.undefined.-.589,589,AF058084.1.658.undefined.-.589,53.48
AF058085.1.659.undefined.-.589,589,AF058085.1.659.undefined.-.589,53.14
AF058086.1.660.undefined.-.589,589,AF058086.1.660.undefined.-.589,53.48
AF058087.1.661.undefined.-.589,589,AF058087.1.661.undefined.-.589,53.14
AF058088.1.662.undefined.-.589,589,AF058088.1.662.undefined.-.589,53.14
AF058089.1.663.undefined.-.589,589,AF058089.1.663.undefined.-.589,53.14
AF063806.1.664.undefined.AMnar.522,522,AF063806.1.664.undefined.AMnar.522,52.49
AF063807.1.665.undefined.AMtoto.522,522,AF063807.1.665.undefined.AMtoto.522,52.49
AF063808.1.666.undefined.AMyam.522,522,AF063808.1.666.undefined.AMyam.522,52.11
AF063809.1.667.undefined.CR015.522,522,AF063809.1.667.undefined.CR015.522,51.92
AF063810.1.668.undefined.CR01.522,522,AF063810.1.668.undefined.CR01.522,52.49
AF063811.1.669.undefined.CR03.522,522,AF063811.1.669.undefined.CR03.522,52.3
AF063812.1.670.undefined.CR08.522,522,AF063812.1.670.undefined.CR08.522,52.3
AF063813.1.671.undefined.CRcam.522,522,AF063813.1.671.undefined.CRcam.522,52.11
AF063814.1.672.undefined.NM1626.522,522,AF063814.1.672.undefined.NM1626.522,51.72
AF063815.1.673.undefined.NM1688.522,522,AF063815.1.673.undefined.NM1688.522,51.72
AF063816.1.674.undefined.NM2015.522,522,AF063816.1.674.undefined.NM2015.522,51.72
AF063817.1.675.undefined.NM2028.522,522,AF063817.1.675.undefined.NM2028.522,51.72
AF063818.1.676.undefined.NMnic.522,522,AF063818.1.676.undefined.NMnic.522,51.72
AF063819.1.677.undefined.Cam.756,756,AF063819.1.677.undefined.Cam.756,58.07
AF063820.1.678.undefined.Nar.756,756,AF063820.1.678.undefined.Nar.756,57.8
AF063821.1.679.undefined.NM1626.757,757,AF063821.1.679.undefined.NM1626.757,57.33
AF074965.1.680.undefined.-.8893,8893,AF074965.1.680.undefined.-.8893,53.73
AF076254.1.681.undefined.kapo.424,424,AF076254.1.681.undefined.kapo.424,57.08
AF076255.1.682.undefined.yam.424,424,AF076255.1.682.undefined.yam.424,57.08
AF076256.1.683.undefined.-.423,423,AF076256.1.683.undefined.-.423,56.97
AF076257.1.684.undefined.nar.423,423,AF076257.1.684.undefined.nar.423,57.45
AF076258.1.685.undefined.cr015.423,423,AF076258.1.685.undefined.cr015.423,56.97
AF076259.1.686.undefined.cr01.423,423,AF076259.1.686.undefined.cr01.423,56.97
AF076260.1.687.undefined.1626.424,424,AF076260.1.687.undefined.1626.424,56.84
AF076261.1.688.undefined.1688.424,424,AF076261.1.688.undefined.1688.424,56.84
AF076262.1.689.undefined.nic.424,424,AF076262.1.689.undefined.nic.424,56.6
AF076263.1.690.undefined.2028.424,424,AF076263.1.690.undefined.2028.424,57.55
AF076264.1.691.undefined.2015.424,424,AF076264.1.691.undefined.2015.424,57.31
AF076265.1.692.undefined.cam.423,423,AF076265.1.692.undefined.cam.423,57.21
AF076266.1.693.undefined.cr03.423,423,AF076266.1.693.undefined.cr03.423,57.21
AF076267.1.694.undefined.cr08,423,AF076267.1.694.undefined.cr08 .423,56.97
AF077209.1.695.undefined.pt450.1344,1344,AF077209.1.695.undefined.pt450.1344,51.64
AF077211.1.696.undefined.pt450.246,246,AF077211.1.696.undefined.pt450.246,56.5
AF091494.1.697.undefined.2318.940,940,AF091494.1.697.undefined.2318.940,51.17
AF091495.1.698.undefined.2329.940,940,AF091495.1.698.undefined.2329.940,51.38
AF091496.1.699.undefined.IP60.940,940,AF091496.1.699.undefined.IP60.940,50.85
AF091497.1.700.undefined.IP66.940,940,AF091497.1.700.undefined.IP66.940,50.64
AF091498.1.701.undefined.IP70.940,940,AF091498.1.701.undefined.IP70.940,50.43
AF091499.1.702.undefined.IP71.940,940,AF091499.1.702.undefined.IP71.940,50.74
AF091500.1.703.undefined.IP74.940,940,AF091500.1.703.undefined.IP74.940,50.64
AF092065.1.704.undefined.IP100.940,940,AF092065.1.704.undefined.IP100.940,50.74
AF092848.1.705.undefined.-.705,705,AF092848.1.705.undefined.-.705,56.74
AF092849.1.706.undefined.-.705,705,AF092849.1.706.undefined.-.705,56.74
AF097524.1.707.undefined.97MZ03.555,555,AF097524.1.707.undefined.97MZ03.555,58.38
AF097525.1.708.undefined.97MZ06.555,555,AF097525.1.708.undefined.97MZ06.555,58.56
AF097526.1.709.undefined.97MZ26.550,550,AF097526.1.709.undefined.97MZ26.550,57.82
AF097527.1.710.undefined.97MZ28.555,555,AF097527.1.710.undefined.97MZ28.555,58.02
AF097528.1.711.undefined.TBH98.547,547,AF097528.1.711.undefined.TBH98.547,58.5
AF115495.1.712.undefined.-.755,755,AF115495.1.712.undefined.-.755,56.69
AF121866.1.713.undefined.SN014.509,509,AF121866.1.713.undefined.SN014.509,58.35
AF121867.1.714.undefined.SN079.510,510,AF121867.1.714.undefined.SN079.510,58.24
AF121868.1.715.undefined.SN094.509,509,AF121868.1.715.undefined.SN094.509,58.15
AF121869.1.716.undefined.SN132.509,509,AF121869.1.716.undefined.SN132.509,58.35
AF124043.1.717.undefined.BEL1.756,756,AF124043.1.717.undefined.BEL1.756,57.67
AF132300.1.718.undefined.-.522,522,AF132300.1.718.undefined.-.522,52.11
AF133522.1.719.undefined.-.1073,1073,AF133522.1.719.undefined.-.1073,53.31
AF133523.1.720.undefined.79/94.1073,1073,AF133523.1.720.undefined.79/94.1073,53.31
AF133524.1.721.undefined.122/97.1073,1073,AF133524.1.721.undefined.122/97.1073,53.31
AF133525.1.722.undefined.31/98.1073,1073,AF133525.1.722.undefined.31/98.1073,53.31
AF133526.1.723.undefined.28/97.1073,1073,AF133526.1.723.undefined.28/97.1073,53.31
AF139170.1.724.undefined.-.9031,9031,AF139170.1.724.undefined.-.9031,53.8
AF139382.1.725.undefined.-.8958,8958,AF139382.1.725.undefined.-.8958,53.91
AF139383.1.726.undefined.-.830,830,AF139383.1.726.undefined.-.830,50.72
AF139384.1.727.undefined.-.816,816,AF139384.1.727.undefined.-.816,50.61
AF139385.1.728.undefined.-.798,798,AF139385.1.728.undefined.-.798,50.13
AF139386.1.729.undefined.-.799,799,AF139386.1.729.undefined.-.799,50.44
AF139387.1.730.undefined.-.789,789,AF139387.1.730.undefined.-.789,50.25
AF139388.1.731.undefined.-.741,741,AF139388.1.731.undefined.-.741,58.16
AF139389.1.732.undefined.-.743,743,AF139389.1.732.undefined.-.743,58.14
AF139390.1.733.undefined.-.742,742,AF139390.1.733.undefined.-.742,58.09
AF139391.1.734.undefined.-.742,742,AF139391.1.734.undefined.-.742,57.82
AF139392.1.735.undefined.-.742,742,AF139392.1.735.undefined.-.742,57.82
AF139393.1.736.undefined.-.742,742,AF139393.1.736.undefined.-.742,58.03
AF148889.1.737.undefined.3669.407,407,AF148889.1.737.undefined.3669.407,54.55
AF148890.1.738.undefined.3614.473,473,AF148890.1.738.undefined.3614.473,54.97
AF148891.1.739.undefined.A212,448,AF148891.1.739.undefined.A212 .448,53.12
AF148892.1.740.undefined.EG.495,495,AF148892.1.740.undefined.EG.495,55.15
AF148893.1.741.undefined.FS.522,522,AF148893.1.741.undefined.FS.522,52.87
AF148894.1.742.undefined.FS.518,518,AF148894.1.742.undefined.FS.518,49.42
AF148895.1.743.undefined.MT-2.645,645,AF148895.1.743.undefined.MT-2.645,53.18
AF148896.1.744.undefined.8166.447,447,AF148896.1.744.undefined.8166.447,61.97
AF154338.1.745.undefined.KZN48.629,629,AF154338.1.745.undefined.KZN48.629,50.72
AF154339.1.746.undefined.KZN49.597,597,AF154339.1.746.undefined.KZN49.597,49.75
AF154340.1.747.undefined.KZN68.629,629,AF154340.1.747.undefined.KZN68.629,50.56
AF154341.1.748.undefined.KZN61.629,629,AF154341.1.748.undefined.KZN61.629,50.56
AF154342.1.749.undefined.KZN62.629,629,AF154342.1.749.undefined.KZN62.629,50.87
AF165067.1.750.undefined.-.686,686,AF165067.1.750.undefined.-.686,50.44
AF165068.1.751.undefined.-.686,686,AF165068.1.751.undefined.-.686,50.0
AF175467.1.752.undefined.-.763,763,AF175467.1.752.undefined.-.763,57.8
AF185281.1.753.undefined.-.145,145,AF185281.1.753.undefined.-.145,50.34
AF185282.1.754.undefined.-.668,668,AF185282.1.754.undefined.-.668,57.63
AF195020.1.755.undefined.-.479,479,AF195020.1.755.undefined.-.479,55.11
AF197250.1.756.undefined.-.481,481,AF197250.1.756.undefined.-.481,54.89
AF197251.1.757.undefined.-.479,479,AF197251.1.757.undefined.-.479,54.91
AF197252.1.758.undefined.-.480,480,AF197252.1.758.undefined.-.480,54.79
AF197253.1.759.undefined.-.479,479,AF197253.1.759.undefined.-.479,54.28
AF197254.1.760.undefined.-.479,479,AF197254.1.760.undefined.-.479,54.91
AF197255.1.761.undefined.-.480,480,AF197255.1.761.undefined.-.480,55.0
AF197256.1.762.undefined.-.480,480,AF197256.1.762.undefined.-.480,54.79
AF197257.1.763.undefined.-.473,473,AF197257.1.763.undefined.-.473,55.39
AF197258.1.764.undefined.-.473,473,AF197258.1.764.undefined.-.473,54.97
AF197259.1.765.undefined.-.478,478,AF197259.1.765.undefined.-.478,54.18
AF197260.1.766.undefined.-.478,478,AF197260.1.766.undefined.-.478,54.6
AF197261.1.767.undefined.-.479,479,AF197261.1.767.undefined.-.479,54.7
AF197262.1.768.undefined.-.481,481,AF197262.1.768.undefined.-.481,54.26
AF197263.1.769.undefined.-.479,479,AF197263.1.769.undefined.-.479,54.07
AF197264.1.770.undefined.-.479,479,AF197264.1.770.undefined.-.479,54.49
AF197265.1.771.undefined.-.479,479,AF197265.1.771.undefined.-.479,54.7
AF197266.1.772.undefined.-.479,479,AF197266.1.772.undefined.-.479,55.11
AF197267.1.773.undefined.-.479,479,AF197267.1.773.undefined.-.479,54.28
AF197268.1.774.undefined.-.479,479,AF197268.1.774.undefined.-.479,55.11
AF197269.1.775.undefined.-.479,479,AF197269.1.775.undefined.-.479,55.11
AF197270.1.776.undefined.-.479,479,AF197270.1.776.undefined.-.479,55.11
AF197271.1.777.undefined.-.480,480,AF197271.1.777.undefined.-.480,54.17
AF197272.1.778.undefined.-.480,480,AF197272.1.778.undefined.-.480,54.17
AF197273.1.779.undefined.-.480,480,AF197273.1.779.undefined.-.480,55.0
AF197274.1.780.undefined.-.480,480,AF197274.1.780.undefined.-.480,54.17
AF197275.1.781.undefined.-.631,631,AF197275.1.781.undefined.-.631,52.3
AF197276.1.782.undefined.-.631,631,AF197276.1.782.undefined.-.631,52.46
AF197277.1.783.undefined.-.631,631,AF197277.1.783.undefined.-.631,52.46
AF197278.1.784.undefined.-.631,631,AF197278.1.784.undefined.-.631,52.46
AF197279.1.785.undefined.-.630,630,AF197279.1.785.undefined.-.630,52.54
AF197280.1.786.undefined.-.630,630,AF197280.1.786.undefined.-.630,52.86
AF197281.1.787.undefined.-.630,630,AF197281.1.787.undefined.-.630,52.7
AF197282.1.788.undefined.-.630,630,AF197282.1.788.undefined.-.630,52.7
AF197283.1.789.undefined.-.630,630,AF197283.1.789.undefined.-.630,52.7
AF197284.1.790.undefined.-.631,631,AF197284.1.790.undefined.-.631,52.61
AF197285.1.791.undefined.-.318,318,AF197285.1.791.undefined.-.318,44.65
AF197286.1.792.undefined.-.318,318,AF197286.1.792.undefined.-.318,44.34
AF197287.1.793.undefined.-.318,318,AF197287.1.793.undefined.-.318,44.97
AF197288.1.794.undefined.-.318,318,AF197288.1.794.undefined.-.318,44.34
AF197289.1.795.undefined.-.318,318,AF197289.1.795.undefined.-.318,44.34
AF197290.1.796.undefined.-.318,318,AF197290.1.796.undefined.-.318,44.97
AF197291.1.797.undefined.-.318,318,AF197291.1.797.undefined.-.318,44.65
AF197292.1.798.undefined.-.318,318,AF197292.1.798.undefined.-.318,44.03
AF197293.1.799.undefined.-.318,318,AF197293.1.799.undefined.-.318,44.34
AF197294.1.800.undefined.-.318,318,AF197294.1.800.undefined.-.318,44.34
AF197295.1.801.undefined.-.318,318,AF197295.1.801.undefined.-.318,44.34
AF197296.1.802.undefined.-.318,318,AF197296.1.802.undefined.-.318,45.28
AF197297.1.803.undefined.-.318,318,AF197297.1.803.undefined.-.318,44.03
AF197298.1.804.undefined.-.318,318,AF197298.1.804.undefined.-.318,44.97
AF197299.1.805.undefined.-.318,318,AF197299.1.805.undefined.-.318,44.03
AF197300.1.806.undefined.-.318,318,AF197300.1.806.undefined.-.318,44.34
AF197301.1.807.undefined.-.318,318,AF197301.1.807.undefined.-.318,44.03
AF197302.1.808.undefined.-.318,318,AF197302.1.808.undefined.-.318,44.03
AF197303.1.809.undefined.-.318,318,AF197303.1.809.undefined.-.318,44.34
AF197304.1.810.undefined.-.318,318,AF197304.1.810.undefined.-.318,44.34
AF197305.1.811.undefined.-.318,318,AF197305.1.811.undefined.-.318,44.97
AF197306.1.812.undefined.-.318,318,AF197306.1.812.undefined.-.318,44.03
AF197307.1.813.undefined.-.318,318,AF197307.1.813.undefined.-.318,44.34
AF197308.1.814.undefined.-.318,318,AF197308.1.814.undefined.-.318,44.34
AF197309.1.815.undefined.-.318,318,AF197309.1.815.undefined.-.318,43.71
AF197310.1.816.undefined.-.318,318,AF197310.1.816.undefined.-.318,44.97
AF197311.1.817.undefined.-.318,318,AF197311.1.817.undefined.-.318,44.34
AF197312.1.818.undefined.-.318,318,AF197312.1.818.undefined.-.318,44.34
AF197313.1.819.undefined.-.318,318,AF197313.1.819.undefined.-.318,44.34
AF197314.1.820.undefined.-.318,318,AF197314.1.820.undefined.-.318,43.71
AF197315.1.821.undefined.-.318,318,AF197315.1.821.undefined.-.318,44.34
AF197316.1.822.undefined.-.318,318,AF197316.1.822.undefined.-.318,44.34
AF197317.1.823.undefined.-.318,318,AF197317.1.823.undefined.-.318,44.34
AF197318.1.824.undefined.-.318,318,AF197318.1.824.undefined.-.318,43.71
AF197319.1.825.undefined.-.318,318,AF197319.1.825.undefined.-.318,44.34
AF197320.1.826.undefined.-.318,318,AF197320.1.826.undefined.-.318,44.65
AF197321.1.827.undefined.-.318,318,AF197321.1.827.undefined.-.318,44.34
AF197322.1.828.undefined.-.318,318,AF197322.1.828.undefined.-.318,44.34
AF197323.1.829.undefined.-.318,318,AF197323.1.829.undefined.-.318,44.34
AF197324.1.830.undefined.-.318,318,AF197324.1.830.undefined.-.318,45.28
AF197325.1.831.undefined.-.318,318,AF197325.1.831.undefined.-.318,44.34
AF197326.1.832.undefined.-.318,318,AF197326.1.832.undefined.-.318,44.34
AF197327.1.833.undefined.-.318,318,AF197327.1.833.undefined.-.318,44.97
AF197328.1.834.undefined.-.145,145,AF197328.1.834.undefined.-.145,42.76
AF222019.1.835.undefined.U8306.508,508,AF222019.1.835.undefined.U8306.508,58.46
AF223406.1.836.undefined.-.140,140,AF223406.1.836.undefined.-.140,42.14
AF226593.1.837.undefined.-.1061,1061,AF226593.1.837.undefined.-.1061,53.06
AF226594.2.838.undefined.htlv446.966,966,AF226594.2.838.undefined.htlv446.966,51.66
AF226595.1.839.undefined.-.1500,1500,AF226595.1.839.undefined.-.1500,50.8
AF226596.1.840.undefined.-.966,966,AF226596.1.840.undefined.-.966,51.86
AF228926.1.841.undefined.-.461,461,AF228926.1.841.undefined.-.461,57.48
AF228927.1.842.undefined.-.461,461,AF228927.1.842.undefined.-.461,57.7
AF228928.1.843.undefined.-.460,460,AF228928.1.843.undefined.-.460,57.61
AF228929.1.844.undefined.-.461,461,AF228929.1.844.undefined.-.461,57.27
AF228930.1.845.undefined.-.459,459,AF228930.1.845.undefined.-.459,58.17
AF228931.1.846.undefined.-.459,459,AF228931.1.846.undefined.-.459,58.39
AF228932.1.847.undefined.-.459,459,AF228932.1.847.undefined.-.459,58.39
AF228933.1.848.undefined.-.617,617,AF228933.1.848.undefined.-.617,54.71
AF228934.1.849.undefined.-.577,577,AF228934.1.849.undefined.-.577,54.17
AF228935.1.850.undefined.-.577,577,AF228935.1.850.undefined.-.577,53.99
AF228936.1.851.undefined.-.461,461,AF228936.1.851.undefined.-.461,55.1
AF228937.1.852.undefined.-.461,461,AF228937.1.852.undefined.-.461,54.88
AF228938.1.853.undefined.-.409,409,AF228938.1.853.undefined.-.409,59.17
AF228939.1.854.undefined.-.762,762,AF228939.1.854.undefined.-.762,50.39
AF228940.1.855.undefined.-.407,407,AF228940.1.855.undefined.-.407,59.95
AF228941.1.856.undefined.-.407,407,AF228941.1.856.undefined.-.407,59.71
AF228942.1.857.undefined.-.407,407,AF228942.1.857.undefined.-.407,59.46
AF228943.1.858.undefined.-.407,407,AF228943.1.858.undefined.-.407,59.71
AF228944.1.859.undefined.-.471,471,AF228944.1.859.undefined.-.471,54.99
AF228945.1.860.undefined.-.539,539,AF228945.1.860.undefined.-.539,53.25
AF228946.1.861.undefined.-.659,659,AF228946.1.861.undefined.-.659,52.05
AF228947.1.862.undefined.-.659,659,AF228947.1.862.undefined.-.659,52.05
AF228948.1.863.undefined.-.659,659,AF228948.1.863.undefined.-.659,51.75
AF228949.1.864.undefined.-.507,507,AF228949.1.864.undefined.-.507,55.82
AF228950.1.865.undefined.-.507,507,AF228950.1.865.undefined.-.507,55.82
AF228951.1.866.undefined.-.507,507,AF228951.1.866.undefined.-.507,55.62
AF228952.1.867.undefined.-.542,542,AF228952.1.867.undefined.-.542,54.24
AF228953.1.868.undefined.-.542,542,AF228953.1.868.undefined.-.542,54.24
AF228954.1.869.undefined.-.413,413,AF228954.1.869.undefined.-.413,59.81
AF228955.1.870.undefined.-.469,469,AF228955.1.870.undefined.-.469,56.93
AF228956.1.871.undefined.-.469,469,AF228956.1.871.undefined.-.469,56.72
AF228957.1.872.undefined.-.469,469,AF228957.1.872.undefined.-.469,57.14
AF228958.1.873.undefined.-.675,675,AF228958.1.873.undefined.-.675,55.7
AF228959.1.874.undefined.-.421,421,AF228959.1.874.undefined.-.421,59.62
AF228960.1.875.undefined.-.441,441,AF228960.1.875.undefined.-.441,58.05
AF228961.1.876.undefined.-.441,441,AF228961.1.876.undefined.-.441,58.28
AF228962.1.877.undefined.-.441,441,AF228962.1.877.undefined.-.441,57.82
AF228963.1.878.undefined.-.454,454,AF228963.1.878.undefined.-.454,59.03
AF228964.1.879.undefined.-.454,454,AF228964.1.879.undefined.-.454,58.81
AF228965.1.880.undefined.-.527,527,AF228965.1.880.undefined.-.527,58.75
AF228966.1.881.undefined.-.640,640,AF228966.1.881.undefined.-.640,53.75
AF228967.1.882.undefined.-.526,526,AF228967.1.882.undefined.-.526,53.61
AF228968.1.883.undefined.-.526,526,AF228968.1.883.undefined.-.526,53.42
AF228969.1.884.undefined.-.526,526,AF228969.1.884.undefined.-.526,53.8
AF228970.1.885.undefined.-.526,526,AF228970.1.885.undefined.-.526,53.42
AF228971.1.886.undefined.-.524,524,AF228971.1.886.undefined.-.524,53.44
AF228972.1.887.undefined.-.448,448,AF228972.1.887.undefined.-.448,60.49
AF228973.1.888.undefined.-.448,448,AF228973.1.888.undefined.-.448,60.71
AF228974.1.889.undefined.-.448,448,AF228974.1.889.undefined.-.448,60.27
AF228975.1.890.undefined.-.448,448,AF228975.1.890.undefined.-.448,60.27
AF228976.1.891.undefined.-.482,482,AF228976.1.891.undefined.-.482,55.39
AF228977.1.892.undefined.-.482,482,AF228977.1.892.undefined.-.482,55.19
AF228978.1.893.undefined.-.572,572,AF228978.1.893.undefined.-.572,55.07
AF228979.1.894.undefined.-.563,563,AF228979.1.894.undefined.-.563,53.82
AF228980.1.895.undefined.-.415,415,AF228980.1.895.undefined.-.415,59.76
AF228981.1.896.undefined.-.415,415,AF228981.1.896.undefined.-.415,59.52
AF228982.1.897.undefined.-.413,413,AF228982.1.897.undefined.-.413,60.05
AF228983.1.898.undefined.-.414,414,AF228983.1.898.undefined.-.414,59.9
AF228984.1.899.undefined.-.656,656,AF228984.1.899.undefined.-.656,54.12
AF228985.1.900.undefined.-.655,655,AF228985.1.900.undefined.-.655,54.05
AF228986.1.901.undefined.-.556,556,AF228986.1.901.undefined.-.556,56.83
AF228987.1.902.undefined.-.555,555,AF228987.1.902.undefined.-.555,56.22
AF228988.1.903.undefined.-.555,555,AF228988.1.903.undefined.-.555,56.76
AF250200.1.904.undefined.2555.1466,1466,AF250200.1.904.undefined.2555.1466,50.41
AF255299.1.905.undefined.-.440,440,AF255299.1.905.undefined.-.440,50.91
AF257509.1.906.undefined.-.140,140,AF257509.1.906.undefined.-.140,40.71
AF257510.1.907.undefined.-.140,140,AF257510.1.907.undefined.-.140,42.14
AF257511.1.908.undefined.-.140,140,AF257511.1.908.undefined.-.140,40.0
AF257512.1.909.undefined.-.140,140,AF257512.1.909.undefined.-.140,42.86
AF257513.1.910.undefined.-.140,140,AF257513.1.910.undefined.-.140,41.43
AF257514.1.911.undefined.-.140,140,AF257514.1.911.undefined.-.140,42.86
AF258452.1.912.undefined.-.140,140,AF258452.1.912.undefined.-.140,42.14
AF258453.1.913.undefined.-.140,140,AF258453.1.913.undefined.-.140,42.14
AF258454.1.914.undefined.-.140,140,AF258454.1.914.undefined.-.140,42.14
AF258455.1.915.undefined.-.140,140,AF258455.1.915.undefined.-.140,42.14
AF258456.1.916.undefined.-.140,140,AF258456.1.916.undefined.-.140,42.14
AF258457.1.917.undefined.-.140,140,AF258457.1.917.undefined.-.140,40.0
AF258458.1.918.undefined.-.140,140,AF258458.1.918.undefined.-.140,40.0
AF258459.1.919.undefined.-.140,140,AF258459.1.919.undefined.-.140,40.0
AF258460.1.920.undefined.-.140,140,AF258460.1.920.undefined.-.140,42.14
AF258788.1.921.undefined.1RASCPZ.522,522,AF258788.1.921.undefined.1RASCPZ.522,51.92
AF259264.1.922.undefined.WHP.9034,9034,AF259264.1.922.undefined.WHP.9034,53.96
AF262407.1.923.undefined.-.589,589,AF262407.1.923.undefined.-.589,53.14
AF262408.1.924.undefined.-.625,625,AF262408.1.924.undefined.-.625,57.92
AF274481.1.925.undefined.-.652,652,AF274481.1.925.undefined.-.652,58.9
AF274482.1.926.undefined.-.621,621,AF274482.1.926.undefined.-.621,57.97
AF275905.1.927.undefined.-.455,455,AF275905.1.927.undefined.-.455,61.54
AF292000.1.928.undefined.PMT-2.1062,1062,AF292000.1.928.undefined.PMT-2.1062,53.67
AF292001.1.929.undefined.-.1071,1071,AF292001.1.929.undefined.-.1071,52.57
AF292002.1.930.undefined.-.996,996,AF292002.1.930.undefined.-.996,52.01
AF306724.1.931.undefined.-.624,624,AF306724.1.931.undefined.-.624,57.53
AF306725.1.932.undefined.-.622,622,AF306725.1.932.undefined.-.622,58.04
AF306726.1.933.undefined.-.624,624,AF306726.1.933.undefined.-.624,58.01
AF306727.1.934.undefined.-.624,624,AF306727.1.934.undefined.-.624,57.21
AF306728.1.935.undefined.-.624,624,AF306728.1.935.undefined.-.624,57.85
AF306729.1.936.undefined.-.623,623,AF306729.1.936.undefined.-.623,57.46
AF306730.1.937.undefined.-.624,624,AF306730.1.937.undefined.-.624,57.85
AF306731.1.938.undefined.-.623,623,AF306731.1.938.undefined.-.623,58.27
AF306732.1.939.undefined.-.625,625,AF306732.1.939.undefined.-.625,58.24
AF306733.1.940.undefined.-.624,624,AF306733.1.940.undefined.-.624,58.17
AF306734.1.941.undefined.-.623,623,AF306734.1.941.undefined.-.623,58.11
AF306735.1.942.undefined.-.624,624,AF306735.1.942.undefined.-.624,57.85
AF326583.1.943.undefined.-.8964,8964,AF326583.1.943.undefined.-.8964,53.87
AF326584.1.944.undefined.-.8955,8955,AF326584.1.944.undefined.-.8955,53.81
AF327515.1.945.undefined.-.159,159,AF327515.1.945.undefined.-.159,59.12
AF327516.1.946.undefined.-.140,140,AF327516.1.946.undefined.-.140,41.43
AF387073.1.947.undefined.-.966,966,AF387073.1.947.undefined.-.966,51.97
AF387074.1.948.undefined.-.966,966,AF387074.1.948.undefined.-.966,51.76
AF387075.1.949.undefined.-.966,966,AF387075.1.949.undefined.-.966,52.07
AF399895.1.950.undefined.-.466,466,AF399895.1.950.undefined.-.466,60.73
AF399896.1.951.undefined.-.487,487,AF399896.1.951.undefined.-.487,61.19
AF399897.1.952.undefined.-.518,518,AF399897.1.952.undefined.-.518,59.07
AF399898.1.953.undefined.-.545,545,AF399898.1.953.undefined.-.545,59.27
AF399899.1.954.undefined.-.457,457,AF399899.1.954.undefined.-.457,62.36
AF399900.1.955.undefined.-.473,473,AF399900.1.955.undefined.-.473,61.52
AF399901.1.956.undefined.-.649,649,AF399901.1.956.undefined.-.649,58.55
AF399902.1.957.undefined.-.671,671,AF399902.1.957.undefined.-.671,58.72
AF399903.1.958.undefined.-.628,628,AF399903.1.958.undefined.-.628,57.8
AF399904.1.959.undefined.-.592,592,AF399904.1.959.undefined.-.592,58.11
AF399905.1.960.undefined.-.640,640,AF399905.1.960.undefined.-.640,58.28
AF399906.1.961.undefined.-.650,650,AF399906.1.961.undefined.-.650,59.08
AF399907.1.962.undefined.-.630,630,AF399907.1.962.undefined.-.630,58.41
AF399908.1.963.undefined.-.647,647,AF399908.1.963.undefined.-.647,58.42
AF401491.1.964.undefined.-.668,668,AF401491.1.964.undefined.-.668,57.78
AF401492.1.965.undefined.-.668,668,AF401492.1.965.undefined.-.668,57.63
AF401493.1.966.undefined.-.672,672,AF401493.1.966.undefined.-.672,57.44
AF401494.1.967.undefined.-.672,672,AF401494.1.967.undefined.-.672,57.44
AF401495.1.968.undefined.-.670,670,AF401495.1.968.undefined.-.670,57.16
AF401496.1.969.undefined.-.2877,2877,AF401496.1.969.undefined.-.2877,53.95
AF405338.1.970.undefined.Co-001.1467,1467,AF405338.1.970.undefined.Co-001.1467,51.36
AF405339.1.971.undefined.Co-002.1467,1467,AF405339.1.971.undefined.Co-002.1467,51.43
AF405340.1.972.undefined.Co-003.1467,1467,AF405340.1.972.undefined.Co-003.1467,51.43
